Date,AAPL,GOOG,MSFT
2020-07-09,93.07804870605469,75.10307312011719,205.33689880371094
2020-07-10,93.24087524414062,76.63148498535156,204.71417236328125
2020-07-13,92.81070709228516,75.12046813964844,198.3907928466797
2020-07-14,94.34658813476562,75.57975006103516,199.61712646484375
2020-07-15,94.99544525146484,75.23478698730469,199.32012939453125
2020-07-16,93.82652282714844,75.45150756835938,195.372802734375
2020-07-17,93.63697814941406,75.32971954345703,194.3764190673828
2020-07-20,95.61027526855469,77.82340240478516,202.73089599609375
2020-07-21,94.29070281982422,77.46055603027344,200.0003662109375
2020-07-22,94.55559539794922,77.9610824584961,202.8746337890625
2020-07-23,90.25176239013672,75.336181640625,194.05067443847656
2020-07-24,90.02815246582031,75.14681243896484,192.8626708984375
2020-07-27,92.16187286376953,76.05789947509766,195.3057403564453
2020-07-28,90.64787292480469,74.57372283935547,193.5524444580078
2020-07-29,92.38544464111328,75.65130615234375,195.5069580078125
2020-07-30,93.50331115722656,76.12002563476562,195.3536834716797
2020-07-31,103.29204559326172,73.70985412597656,196.4171142578125
2020-08-03,105.89476013183594,73.28687286376953,207.46385192871094
2020-08-04,106.60196685791016,72.815673828125,204.35009765625
2020-08-05,106.98835754394531,73.2451171875,204.0147705078125
2020-08-06,110.72110748291016,74.56179809570312,207.2818603515625
2020-08-07,108.20376586914062,74.28295135498047,203.57403564453125
2020-08-10,109.77647399902344,74.36296844482422,199.52133178710938
2020-08-11,106.5117416381836,73.57862854003906,194.85548400878906
2020-08-12,110.05159759521484,74.8858642578125,200.42193603515625
2020-08-13,111.99923706054688,75.47386932373047,199.95242309570312
2020-08-14,111.89944458007812,74.9410400390625,200.14410400390625
2020-08-17,111.60726928710938,75.45050811767578,201.4662628173828
2020-08-18,112.53726196289062,77.4695053100586,202.62551879882812
2020-08-19,112.67845153808594,76.91928100585938,201.39622497558594
2020-08-20,115.17877960205078,78.62016296386719,206.08297729492188
2020-08-21,121.11420440673828,78.55406188964844,204.58477783203125
2020-08-24,122.56278228759766,78.9407730102539,205.22821044921875
2020-08-25,121.55728149414062,79.93584442138672,207.89813232421875
2020-08-26,123.21035766601562,82.13080596923828,212.39279174804688
2020-08-27,121.73746490478516,81.23363494873047,217.6078338623047
2020-08-28,121.54025268554688,81.73465728759766,219.8455352783203
2020-08-31,125.66195678710938,81.22618103027344,216.599365234375
2020-09-01,130.66737365722656,82.54483795166016,218.27047729492188
2020-09-02,127.96015167236328,85.90337371826172,222.47703552246094
2020-09-03,117.71556091308594,81.60691833496094,208.6952667236328
2020-09-04,117.7934799194336,79.0819320678711,205.7660369873047
2020-09-08,109.86656951904297,76.166748046875,194.63499450683594
2020-09-09,114.24876403808594,77.38798522949219,202.92324829101562
2020-09-10,110.5190200805664,76.14835357666016,197.23765563964844
2020-09-11,109.06803131103516,75.58670806884766,195.9507293701172
2020-09-14,112.340087890625,75.51512145996094,197.27606201171875
2020-09-15,112.51535034179688,76.6165771484375,200.5126495361328
2020-09-16,109.19462585449219,75.59564208984375,196.9303741455078
2020-09-17,107.45149993896484,74.33464813232422,194.8750762939453
2020-09-18,104.04309844970703,72.56814575195312,192.4548797607422
2020-09-21,107.19829559326172,71.1351547241211,194.51974487304688
2020-09-22,108.88301086425781,72.84003448486328,199.20648193359375
2020-09-23,104.3157730102539,70.34236907958984,192.64694213867188
2020-09-24,105.38697814941406,70.99250793457031,195.14401245117188
2020-09-25,109.3407211303711,71.82109069824219,199.5906982421875
2020-09-28,111.95053100585938,72.79330444335938,201.14654541015625
2020-09-29,111.10332489013672,73.03238677978516,199.0528106689453
2020-09-30,112.7782974243164,73.0457992553711,202.0012664794922
2020-10-01,113.7326431274414,74.06424713134766,204.0469207763672
2020-10-02,110.06132507324219,72.49009704589844,198.02523803710938
2020-10-05,113.45024108886719,73.86195373535156,202.04931640625
2020-10-06,110.19766998291016,72.2425765991211,197.75631713867188
2020-10-07,112.06739807128906,72.58305358886719,201.52102661132812
2020-10-08,111.96029663085938,73.85747528076172,202.24139404296875
2020-10-09,113.90792083740234,75.3133316040039,207.26426696777344
2020-10-12,121.1434326171875,77.993896484375,212.63291931152344
2020-10-13,117.92981719970703,78.11964416503906,214.0351104736328
2020-10-14,118.01746368408203,77.94071197509766,212.11428833007812
2020-10-15,117.5500259399414,77.495849609375,210.96180725097656
2020-10-16,115.90425872802734,78.18575286865234,210.96180725097656
2020-10-19,112.94384765625,76.27709197998047,205.7372283935547
2020-10-20,114.43379211425781,77.33679962158203,206.1501922607422
2020-10-21,113.81053924560547,79.19474792480469,206.29428100585938
2020-10-22,112.71986389160156,80.28925323486328,206.38067626953125
2020-10-23,112.02845001220703,81.5651626586914,207.66763305664062
2020-10-26,112.0381851196289,79.05260467529297,201.76121520996094
2020-10-27,113.54761505126953,79.73902130126953,204.8056640625
2020-10-28,108.2889633178711,75.3829116821289,194.6541748046875
2020-10-29,112.30110931396484,77.89895629882812,196.61343383789062
2020-10-30,106.01024627685547,80.57156372070312,194.45254516601562
2020-11-02,105.92259216308594,80.82107543945312,194.31805419921875
2020-11-03,107.54887390136719,82.02294158935547,198.2556915283203
2020-11-04,111.94081115722656,86.93971252441406,207.82131958007812
2020-11-05,115.91401672363281,87.64751434326172,214.44810485839844
2020-11-06,115.78231048583984,87.56698608398438,214.86106872558594
2020-11-09,113.47037506103516,87.6291275024414,209.7421417236328
2020-11-10,113.12895202636719,86.50528717041016,202.65431213378906
2020-11-11,116.56270599365234,87.11766052246094,207.97499084472656
2020-11-12,116.28956604003906,86.9749984741211,206.908935546875
2020-11-13,116.33834838867188,88.32597351074219,207.9365234375
2020-11-16,117.35285949707031,88.54269409179688,208.62806701660156
2020-11-17,116.46516418457031,87.98451232910156,205.96771240234375
2020-11-18,115.13848114013672,86.82291412353516,203.25230407714844
2020-11-19,115.7335433959961,87.67484283447266,204.5426483154297
2020-11-20,114.46537017822266,86.59476470947266,202.58787536621094
2020-11-23,111.06088256835938,86.23043060302734,202.31825256347656
2020-11-24,112.34854125976562,87.92137908935547,205.92922973632812
2020-11-25,113.1874771118164,88.04812622070312,205.9388427734375
2020-11-27,113.73375701904297,89.12969970703125,207.2484130859375
2020-11-30,116.13349151611328,87.51679229736328,206.1314239501953
2020-12-01,119.71358489990234,89.3737564086914,208.192138671875
2020-12-02,120.06477355957031,90.857421875,207.38320922851562
2020-12-03,119.92820739746094,90.79877471923828,206.2951202392578
2020-12-04,119.25507354736328,90.85941314697266,206.41067504882812
2020-12-07,120.71833801269531,90.43643188476562,206.34326171875
2020-12-08,121.33292388916016,90.39020538330078,207.99948120117188
2020-12-09,118.79661560058594,88.67936706542969,203.94561767578125
2020-12-10,120.22084045410156,88.24197387695312,202.7130889892578
2020-12-11,119.41117858886719,88.56207275390625,205.35145568847656
2020-12-14,118.79661560058594,87.48299407958984,206.25660705566406
2020-12-15,124.74717712402344,87.86619567871094,206.18923950195312
2020-12-16,124.67887115478516,87.6291275024414,211.14822387695312
2020-12-17,125.54705810546875,86.87857055664062,211.2830352783203
2020-12-18,123.55706787109375,86.03907012939453,210.48379516601562
2020-12-21,125.08859252929688,86.45459747314453,214.33543395996094
2020-12-22,128.649169921875,85.66578674316406,215.63539123535156
2020-12-23,127.75173950195312,86.10716247558594,212.82363891601562
2020-12-24,128.7369384765625,86.42875671386719,214.48951721191406
2020-12-28,133.3413543701172,88.27975463867188,216.6175994873047
2020-12-29,131.56593322753906,87.4163818359375,215.837646484375
